id,kaili_ledo,indonesia,contoh
225,Auna,gonggongan,
226,Naava,berjauhan; jarang,
227,Naavaraka,berjauhan,"Domo naavaraka banuana, nakavamo tona mombatomunaka kami. Tidak jauh lagi dari rumahnya, datang orang menjemput kami."
228,Naave,dibawa oleh arus; hanyut,
229,Nombaavesaka,menghanyutkan dengan arus air.,
230,Nokaave,menghanyutkan diri,"Jadi nakava ri uve, nokaavemo natudu tasi. Jadi, waktu tiba di sungai, dia menghanyutkan diri sampai datang ke laut"
231,Avei,wah,"Avei konau, nalei-nalei vayana nipokanavuna. Avei singgagaya bajura. Avei singgaramba vera. Wah, lihatlah enau, merah-merah cahayanya waktu dijatuhkan diri. Wah, sama cantik baju mereka. Wah, sama bagus hiasannya."
232,Avo,sejenis bambu yang besar dan lurus yang dipakai untuk membangun tiang rumah; kulitnya dapat dibelah untuk membuat tali yg dipakai untuk mengikat lantai; bambu betung,
233,Avu,abu dapur; abu bekas pembakaran,
234,Naavu-Avu,"kelabu, abu-abu",
235,Avu,dapur; perapian,
236,Aya,panggilan untuk sesama anak-anak perempuan,
237,Noaya,"1) menapis; membersihkan beras, 2)menjerat binatang",
238,Noaya-Aya,mengayak dari kiri ke kanan,
239,Nateaya,terjerat,Asu Toi Dema nateaya tolia. Anjingnya Papa Dema terjerat.
240,Nompakateaya,menjeratkan tali; menjadi ketat,"Ane komiu manginu pakuli nitagi nu pomarenta, haitu mompakateaya komiu. Kalau kamu minum narkoba, itu menjeratkan kamu."
241,Noayo,jalan bolak-balik di antara dua atau lebih kampung atau tempat.,
242,Nangayo,seperti ayam yg sudah mencari tempat bertelur,
243,Nombaayo,mengunjungi orang sakit,"Ane kita nombaayo, kita hau ri banua ntona niayota. Kalau kita pergi mengunjungi orang, kita pergi ke rumah orang yg kita kunjungi."
244,Nosiayo,saling mengunjungi,
245,Nangayuma,"menyediakan bahan untuk s.s. yg akan dibuat, misalnya kumpul kayu untuk membangun rumah, atau kumpul barang yg akan diperlukan untuk pesta",
246,Ba,menunjukkan tidak percaya atau tidak setuju,Ba! Mombayari maile vei. Katanya akan bayar besok (tetapi saya tidak percaya!) H
247,Kabaa-Baa,terbaring di tanah tanpa bergerak.,Nikavana tomadua kabaa-baa naturu. Didapatnya orang sakit itu berbaring tanpa bergerak.
248,Nobaba,dua orang memakai satu sarung atau satu baju sebagai mantel.,
249,Buya Mpobaba,sarung yang tidak dijahit,
250,Nibaba Buya,sarung yg tidak dijahit yg dipakai untuk menggendong anak di belakang.,
251,Nipobaba,memakai sarung sebagai mantel untuk ditutup di belakang saja,
252,Nababari,"luka garutan, berdarah.","Ane karoku njumangu nababari apa ledo nobaju nolipa rara njampune. Seluruh badan saya 
luka garutan karena saya tidak pakai baju 
waktu berjalan lewat rambat."
253,Babavoa,sejenis sayur,
254,Nombaca,membaca,
255,Baca Yasi,bersumpah,
256,Bada,bedak,
257,Nobada,memakai bedak,
258,Nombade,"1) ujungnya membengkok ke atas 
[besi, papan]. 2) membungkukkan badan ke belakang",
259,Taono Badi,parang dengan ujungnya agak bundar,
260,Bado,pakaian bayi,
261,Nibado,diberi pakaian bayi,
262,Nosibaga,saling berkelahi,
263,Nebaga,berkelahi; menyerang,
264,Topebaga,orang yang suka memakai kekerasan,
265,Baga,geraham,
266,Baga Supu,geraham bungsu,
267,Baga Ntabaro,bagian pelepah daun sagu yg melekat pada batang sagu,
268,Nakaa Baga,"keras kepala, bandel",
269,Nobagi,membagikan; memberi,
270,Nombabagi-Bagi,membagi-bagi,
271,Nomposibagi,saling membagi-bagikan,
272,Natebagi-Bagi,"terpisah, tidak bersatu",
273,Kabagi-Randuana Polipana,setengah perjalanan,
274,Nobagi Pekiri,ragu-ragu karena ada dua kemungkinan yg baik dan tidak tahu yg mana dipilih,
275,Bagia,1) bagian.  2) daerah,Nadea coklat ri bagia Palolo. Ada banyak coklat di daerah Palolo
276,Nebagiu,menipu,Nasaro nebagiu topogade pakuli ri potomu. Penjual obat di pasar sering menipu orang.
277,Topebagiu,penipu,
278,Nebago,mengganggu,
279,Bago,"sibukan, tugas",
280,Nabago,sibuk,
281,Nabago Rara,"pikiran dialihkan ke kesibukan, karena banyak kesibukan sehingga dirasa tidak bisa memikirkan hal lain.",
282,Bagona,kesibukannya; tugas,Nadea bagona totua haitu! Banyak pekerjaan orang tua itu!
283,Nobago,bertugas,
284,Bai!,partikel menunjukkan tidak percaya atau tidak setuju,Bai! Hau ia tano? Betulkah dia pergi? (Saya tidak percaya!)
285,Nabai,kering,
286,Nabai Tambolo,haus,
287,Kabaina,tempat yg kering,Ata sou kami naboru ntoto sampe ledo nikava kami kabaina. Atap rumah kami bocor sekali sehingga kami tidak dapat tempat yg kering.
288,Nompovai,menjemur,
289,Nobaisi,"mengeringkan; dibuat menjadi 
kering, yaitu ditutup sumber air dan membuka 
jalan keluar.","Baisi ruru Gumbasa, ala mamala rapakabelo. Keringkan dulu saluran Gumbasa, supaya dapat dikerjakan."
290,Nakabaisa,kehabisan air pada saat dibutuhkan,
291,Bai Kasubi,ubi kayu yg dimasak di bambu,
292,Bailo,sekoi; jawawut; sejenis gandum yg kecil,
293,Baipia,"dulu, sudah lama",
294,Baja,1) baja; topi besi. 2) kekerasan besi.,
295,Nosonggo Baja,bertopi baja; topi dibuat dari besi yg dipakai untuk melindungi kepala,
